pid,ing_avg,outg_avg,ing_c,outg_c,ID_c,cond,story,group,storynum,resptype,rating
14,74,48,2.09075908,4.85478548,-2.4367816,neutral,neg,outgrp,4,howbad,0.69
14,74,48,2.09075908,4.85478548,-2.4367816,neutral,neg,outgrp,5,howbad,0.74
14,74,48,2.09075908,4.85478548,-2.4367816,neutral,neg,ingrp,6,howbad,0.84
14,74,48,2.09075908,4.85478548,-2.4367816,neutral,neg,ingrp,7,howbad,0.7
14,74,48,2.09075908,4.85478548,-2.4367816,neutral,neg,ingrp,8,howbad,0.64
14,74,48,2.09075908,4.85478548,-2.4367816,neutral,pos,outgrp,9,howbad,0.12
14,74,48,2.09075908,4.85478548,-2.4367816,neutral,pos,ingrp,10,howbad,0.23
14,74,48,2.09075908,4.85478548,-2.4367816,neutral,pos,ingrp,11,howbad,0.08
14,74,48,2.09075908,4.85478548,-2.4367816,neutral,pos,ingrp,12,howbad,0.13
14,74,48,2.09075908,4.85478548,-2.4367816,neutral,pos,outgrp,13,howbad,0.13
14,74,48,2.09075908,4.85478548,-2.4367816,neutral,pos,ingrp,14,howbad,0.16
14,74,48,2.09075908,4.85478548,-2.4367816,neutral,pos,outgrp,15,howbad,0.06
14,74,48,2.09075908,4.85478548,-2.4367816,neutral,pos,outgrp,16,howbad,0
15,38.66666667,28,-33.24257425,-15.14521452,-17.77011493,neutral,neg,ingrp,1,howbad,0.09
15,38.66666667,28,-33.24257425,-15.14521452,-17.77011493,neutral,neg,ingrp,2,howbad,0.04
15,38.66666667,28,-33.24257425,-15.14521452,-17.77011493,neutral,neg,ingrp,3,howbad,0.13
15,38.66666667,28,-33.24257425,-15.14521452,-17.77011493,neutral,neg,outgrp,4,howbad,0.25
15,38.66666667,28,-33.24257425,-15.14521452,-17.77011493,neutral,neg,ingrp,5,howbad,0.04
15,38.66666667,28,-33.24257425,-15.14521452,-17.77011493,neutral,neg,outgrp,6,howbad,0
15,38.66666667,28,-33.24257425,-15.14521452,-17.77011493,neutral,neg,outgrp,7,howbad,0.02
15,38.66666667,28,-33.24257425,-15.14521452,-17.77011493,neutral,neg,outgrp,8,howbad,0.05
15,38.66666667,28,-33.24257425,-15.14521452,-17.77011493,neutral,pos,outgrp,9,howbad,0
15,38.66666667,28,-33.24257425,-15.14521452,-17.77011493,neutral,pos,ingrp,10,howbad,0
15,38.66666667,28,-33.24257425,-15.14521452,-17.77011493,neutral,pos,outgrp,11,howbad,0
15,38.66666667,28,-33.24257425,-15.14521452,-17.77011493,neutral,pos,outgrp,12,howbad,0
15,38.66666667,28,-33.24257425,-15.14521452,-17.77011493,neutral,pos,ingrp,13,howbad,0
15,38.66666667,28,-33.24257425,-15.14521452,-17.77011493,neutral,pos,outgrp,14,howbad,0
15,38.66666667,28,-33.24257425,-15.14521452,-17.77011493,neutral,pos,ingrp,15,howbad,0
15,38.66666667,28,-33.24257425,-15.14521452,-17.77011493,neutral,pos,ingrp,16,howbad,0
17,57.33333333,39.66666667,-14.57590759,-3.478547853,-10.77011493,neutral,neg,ingrp,1,howbad,0.73
17,57.33333333,39.66666667,-14.57590759,-3.478547853,-10.77011493,neutral,neg,outgrp,2,howbad,0.38
17,57.33333333,39.66666667,-14.57590759,-3.478547853,-10.77011493,neutral,neg,ingrp,3,howbad,0.27
17,57.33333333,39.66666667,-14.57590759,-3.478547853,-10.77011493,neutral,neg,outgrp,4,howbad,0.98
17,57.33333333,39.66666667,-14.57590759,-3.478547853,-10.77011493,neutral,neg,ingrp,5,howbad,0.11
17,57.33333333,39.66666667,-14.57590759,-3.478547853,-10.77011493,neutral,neg,outgrp,6,howbad,0.37
17,57.33333333,39.66666667,-14.57590759,-3.478547853,-10.77011493,neutral,neg,ingrp,7,howbad,0.75
17,57.33333333,39.66666667,-14.57590759,-3.478547853,-10.77011493,neutral,neg,outgrp,8,howbad,0.38
17,57.33333333,39.66666667,-14.57590759,-3.478547853,-10.77011493,neutral,pos,ingrp,9,howbad,0
17,57.33333333,39.66666667,-14.57590759,-3.478547853,-10.77011493,neutral,pos,ingrp,10,howbad,0.19
17,57.33333333,39.66666667,-14.57590759,-3.478547853,-10.77011493,neutral,pos,outgrp,11,howbad,0.31
17,57.33333333,39.66666667,-14.57590759,-3.478547853,-10.77011493,neutral,pos,ingrp,12,howbad,0.34
17,57.33333333,39.66666667,-14.57590759,-3.478547853,-10.77011493,neutral,pos,outgrp,13,howbad,0.48
17,57.33333333,39.66666667,-14.57590759,-3.478547853,-10.77011493,neutral,pos,outgrp,14,howbad,0.3
17,57.33333333,39.66666667,-14.57590759,-3.478547853,-10.77011493,neutral,pos,ingrp,15,howbad,0.26
17,57.33333333,39.66666667,-14.57590759,-3.478547853,-10.77011493,neutral,pos,outgrp,16,howbad,0.28
18,83,35.66666667,11.09075908,-7.478547853,18.89655173,compete,neg,outgrp,1,howbad,0.71
18,83,35.66666667,11.09075908,-7.478547853,18.89655173,compete,neg,outgrp,2,howbad,0
18,83,35.66666667,11.09075908,-7.478547853,18.89655173,compete,neg,outgrp,3,howbad,0.85
18,83,35.66666667,11.09075908,-7.478547853,18.89655173,compete,neg,ingrp,4,howbad,0.73
18,83,35.66666667,11.09075908,-7.478547853,18.89655173,compete,neg,ingrp,5,howbad,0.53
18,83,35.66666667,11.09075908,-7.478547853,18.89655173,compete,neg,ingrp,6,howbad,0.65
18,83,35.66666667,11.09075908,-7.478547853,18.89655173,compete,neg,outgrp,7,howbad,0.69
18,83,35.66666667,11.09075908,-7.478547853,18.89655173,compete,neg,ingrp,8,howbad,0.76
18,83,35.66666667,11.09075908,-7.478547853,18.89655173,compete,pos,outgrp,9,howbad,0.04
18,83,35.66666667,11.09075908,-7.478547853,18.89655173,compete,pos,ingrp,10,howbad,0.11
18,83,35.66666667,11.09075908,-7.478547853,18.89655173,compete,pos,outgrp,11,howbad,0.02
18,83,35.66666667,11.09075908,-7.478547853,18.89655173,compete,pos,ingrp,12,howbad,0
18,83,35.66666667,11.09075908,-7.478547853,18.89655173,compete,pos,outgrp,13,howbad,0.18
18,83,35.66666667,11.09075908,-7.478547853,18.89655173,compete,pos,outgrp,14,howbad,0
18,83,35.66666667,11.09075908,-7.478547853,18.89655173,compete,pos,ingrp,15,howbad,0.17
18,83,35.66666667,11.09075908,-7.478547853,18.89655173,compete,pos,ingrp,16,howbad,0
19,80.66666667,28,8.757425747,-15.14521452,24.22988507,compete,neg,outgrp,1,howbad,0.42
19,80.66666667,28,8.757425747,-15.14521452,24.22988507,compete,neg,outgrp,2,howbad,0.12
19,80.66666667,28,8.757425747,-15.14521452,24.22988507,compete,neg,outgrp,3,howbad,0.52
19,80.66666667,28,8.757425747,-15.14521452,24.22988507,compete,neg,ingrp,4,howbad,0.6
19,80.66666667,28,8.757425747,-15.14521452,24.22988507,compete,neg,ingrp,5,howbad,0.57
19,80.66666667,28,8.757425747,-15.14521452,24.22988507,compete,neg,ingrp,6,howbad,0.61
19,80.66666667,28,8.757425747,-15.14521452,24.22988507,compete,neg,ingrp,7,howbad,0.6
19,80.66666667,28,8.757425747,-15.14521452,24.22988507,compete,neg,outgrp,8,howbad,0.1
19,80.66666667,28,8.757425747,-15.14521452,24.22988507,compete,pos,outgrp,9,howbad,0.06
19,80.66666667,28,8.757425747,-15.14521452,24.22988507,compete,pos,outgrp,10,howbad,0.03
19,80.66666667,28,8.757425747,-15.14521452,24.22988507,compete,pos,ingrp,11,howbad,0.04
19,80.66666667,28,8.757425747,-15.14521452,24.22988507,compete,pos,ingrp,12,howbad,0.1
19,80.66666667,28,8.757425747,-15.14521452,24.22988507,compete,pos,ingrp,13,howbad,0.02
19,80.66666667,28,8.757425747,-15.14521452,24.22988507,compete,pos,outgrp,14,howbad,0.04
19,80.66666667,28,8.757425747,-15.14521452,24.22988507,compete,pos,ingrp,15,howbad,0.28
19,80.66666667,28,8.757425747,-15.14521452,24.22988507,compete,pos,outgrp,16,howbad,0.02
20,73,58.66666667,1.09075908,15.52145215,-14.10344827,cooperate,neg,outgrp,1,howbad,0.56
20,73,58.66666667,1.09075908,15.52145215,-14.10344827,cooperate,neg,ingrp,2,howbad,0.77
20,73,58.66666667,1.09075908,15.52145215,-14.10344827,cooperate,neg,outgrp,3,howbad,0.72
20,73,58.66666667,1.09075908,15.52145215,-14.10344827,cooperate,neg,ingrp,4,howbad,0.87
20,73,58.66666667,1.09075908,15.52145215,-14.10344827,cooperate,neg,outgrp,5,howbad,0.65
20,73,58.66666667,1.09075908,15.52145215,-14.10344827,cooperate,neg,outgrp,6,howbad,0.56
20,73,58.66666667,1.09075908,15.52145215,-14.10344827,cooperate,neg,ingrp,7,howbad,0.71
20,73,58.66666667,1.09075908,15.52145215,-14.10344827,cooperate,neg,ingrp,8,howbad,0.69
20,73,58.66666667,1.09075908,15.52145215,-14.10344827,cooperate,pos,outgrp,9,howbad,0
20,73,58.66666667,1.09075908,15.52145215,-14.10344827,cooperate,pos,outgrp,10,howbad,0
20,73,58.66666667,1.09075908,15.52145215,-14.10344827,cooperate,pos,outgrp,11,howbad,0.01
20,73,58.66666667,1.09075908,15.52145215,-14.10344827,cooperate,pos,ingrp,12,howbad,0
20,73,58.66666667,1.09075908,15.52145215,-14.10344827,cooperate,pos,ingrp,13,howbad,0.2
20,73,58.66666667,1.09075908,15.52145215,-14.10344827,cooperate,pos,outgrp,14,howbad,0
20,73,58.66666667,1.09075908,15.52145215,-14.10344827,cooperate,pos,ingrp,15,howbad,0
20,73,58.66666667,1.09075908,15.52145215,-14.10344827,cooperate,pos,ingrp,16,howbad,0
22,88.66666667,44.66666667,16.75742575,1.521452147,15.5632184,neutral,neg,outgrp,1,howbad,0.61
22,88.66666667,44.66666667,16.75742575,1.521452147,15.5632184,neutral,neg,outgrp,2,howbad,0.55
22,88.66666667,44.66666667,16.75742575,1.521452147,15.5632184,neutral,neg,ingrp,3,howbad,0.65
22,88.66666667,44.66666667,16.75742575,1.521452147,15.5632184,neutral,neg,outgrp,4,howbad,0
22,88.66666667,44.66666667,16.75742575,1.521452147,15.5632184,neutral,neg,ingrp,5,howbad,0.74
22,88.66666667,44.66666667,16.75742575,1.521452147,15.5632184,neutral,neg,ingrp,6,howbad,0.55
22,88.66666667,44.66666667,16.75742575,1.521452147,15.5632184,neutral,neg,ingrp,7,howbad,0.64
22,88.66666667,44.66666667,16.75742575,1.521452147,15.5632184,neutral,neg,outgrp,8,howbad,0.53
22,88.66666667,44.66666667,16.75742575,1.521452147,15.5632184,neutral,pos,ingrp,9,howbad,0
22,88.66666667,44.66666667,16.75742575,1.521452147,15.5632184,neutral,pos,ingrp,10,howbad,0
22,88.66666667,44.66666667,16.75742575,1.521452147,15.5632184,neutral,pos,outgrp,11,howbad,0
22,88.66666667,44.66666667,16.75742575,1.521452147,15.5632184,neutral,pos,ingrp,12,howbad,0.09
22,88.66666667,44.66666667,16.75742575,1.521452147,15.5632184,neutral,pos,outgrp,13,howbad,0
22,88.66666667,44.66666667,16.75742575,1.521452147,15.5632184,neutral,pos,outgrp,14,howbad,0
22,88.66666667,44.66666667,16.75742575,1.521452147,15.5632184,neutral,pos,ingrp,15,howbad,0
22,88.66666667,44.66666667,16.75742575,1.521452147,15.5632184,neutral,pos,outgrp,16,howbad,0
24,66.66666667,49.33333333,-5.242574253,6.188118813,-11.10344827,compete,neg,outgrp,1,howbad,0.57
24,66.66666667,49.33333333,-5.242574253,6.188118813,-11.10344827,compete,neg,ingrp,2,howbad,0.56
24,66.66666667,49.33333333,-5.242574253,6.188118813,-11.10344827,compete,neg,outgrp,3,howbad,0.62
24,66.66666667,49.33333333,-5.242574253,6.188118813,-11.10344827,compete,neg,ingrp,4,howbad,0.62
24,66.66666667,49.33333333,-5.242574253,6.188118813,-11.10344827,compete,neg,ingrp,5,howbad,0.56
24,66.66666667,49.33333333,-5.242574253,6.188118813,-11.10344827,compete,neg,outgrp,6,howbad,0.67
24,66.66666667,49.33333333,-5.242574253,6.188118813,-11.10344827,compete,neg,outgrp,7,howbad,0.57
24,66.66666667,49.33333333,-5.242574253,6.188118813,-11.10344827,compete,neg,ingrp,8,howbad,0.58
24,66.66666667,49.33333333,-5.242574253,6.188118813,-11.10344827,compete,pos,outgrp,9,howbad,0.36
24,66.66666667,49.33333333,-5.242574253,6.188118813,-11.10344827,compete,pos,ingrp,10,howbad,0.14
24,66.66666667,49.33333333,-5.242574253,6.188118813,-11.10344827,compete,pos,outgrp,11,howbad,0.29
24,66.66666667,49.33333333,-5.242574253,6.188118813,-11.10344827,compete,pos,ingrp,12,howbad,0.24
24,66.66666667,49.33333333,-5.242574253,6.188118813,-11.10344827,compete,pos,outgrp,13,howbad,0.34
24,66.66666667,49.33333333,-5.242574253,6.188118813,-11.10344827,compete,pos,ingrp,14,howbad,0.11
24,66.66666667,49.33333333,-5.242574253,6.188118813,-11.10344827,compete,pos,outgrp,15,howbad,0.2
24,66.66666667,49.33333333,-5.242574253,6.188118813,-11.10344827,compete,pos,ingrp,16,howbad,0.3
25,78.33333333,34.66666667,6.424092413,-8.478547853,15.22988507,compete,neg,outgrp,1,howbad,0.32
