ISSN,journal,DOI,year,citations,impact_factor_rank,category
1046-1310,Current Psychology,10.1007/s12144-020-01326-7,2022,8,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01327-6,2022,8,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
2367-0134,Occupational Health Science,10.1007/s41542-020-00078-x,2021,2,495,"PSYCHOLOGY, APPLIED"
1064-9506,Behavior and Social Issues,10.1007/s42822-020-00044-w,2021,2,382,"PSYCHOLOGY, MULTIDISCIPLINARY"
1389-0417,Cognitive Systems Research,10.1016/j.cogsys.2020.12.009,2021,55,344,"PSYCHOLOGY, EXPERIMENTAL"
1053-8100,Consciousness and Cognition,10.1016/j.concog.2020.103072,2021,4,348,"PSYCHOLOGY, EXPERIMENTAL"
1369-8478,Transportation Research Part F: Traffic Psychology and Behaviour,10.1016/j.trf.2020.09.012,2021,1,107,"PSYCHOLOGY, APPLIED"
1040-0419,Creativity Research Journal,10.1080/10400419.2020.1856595,2021,5,253,"PSYCHOLOGY, EDUCATIONAL"
1064-0266,Eating Disorders,10.1080/10640266.2020.1855571,2022,2,171,PSYCHOLOGY
8756-5641,Developmental Neuropsychology,10.1080/87565641.2020.1869744,2021,0,498,PSYCHOLOGY
1873-5843,Archives of Clinical Neuropsychology,10.1093/arclin/acab002,2021,36,340,PSYCHOLOGY
0364-0213,Cognitive Science,10.1111/cogs.12853,2021,0,298,"PSYCHOLOGY, EXPERIMENTAL"
0364-0213,Cognitive Science,10.1111/cogs.12930,2021,17,298,"PSYCHOLOGY, EXPERIMENTAL"
0364-0213,Cognitive Science,10.1111/cogs.v45.1,2021,0,298,"PSYCHOLOGY, EXPERIMENTAL"
1059-6011,Group &amp; Organization Management,10.1177/1059601120983964,2021,7,72,"PSYCHOLOGY, APPLIED"
1943-3921,"Attention, Perception, &amp; Psychophysics",10.3758/s13414-020-02192-y,2021,8,470,PSYCHOLOGY
1943-3921,"Attention, Perception, &amp; Psychophysics",10.3758/s13414-020-02196-8,2021,2,470,PSYCHOLOGY
1943-3921,"Attention, Perception, &amp; Psychophysics",10.3758/s13414-020-02212-x,2021,12,470,PSYCHOLOGY
0894-3257,Journal of Behavioral Decision Making,10.1002/bdm.2222,2021,2,452,"PSYCHOLOGY, APPLIED"
1018-8827,European Child &amp; Adolescent Psychiatry,10.1007/s00787-020-01688-0,2022,15,24,"PSYCHOLOGY, DEVELOPMENTAL"
1018-8827,European Child &amp; Adolescent Psychiatry,10.1007/s00787-020-01696-0,2022,4,24,"PSYCHOLOGY, DEVELOPMENTAL"
0256-2928,European Journal of Psychology of Education,10.1007/s10212-020-00516-y,2021,11,207,"PSYCHOLOGY, EDUCATIONAL"
2730-7166,Research on Child and Adolescent Psychopathology,10.1007/s10802-020-00715-7,2021,142,181,"PSYCHOLOGY, CLINICAL"
2730-7166,Research on Child and Adolescent Psychopathology,10.1007/s10802-020-00734-4,2021,25,181,"PSYCHOLOGY, CLINICAL"
2730-7166,Research on Child and Adolescent Psychopathology,10.1007/s10802-020-00735-3,2021,4,181,"PSYCHOLOGY, CLINICAL"
2730-7166,Research on Child and Adolescent Psychopathology,10.1007/s10802-020-00740-6,2021,0,181,"PSYCHOLOGY, CLINICAL"
2730-7166,Research on Child and Adolescent Psychopathology,10.1007/s10802-020-00741-5,2021,13,181,"PSYCHOLOGY, CLINICAL"
2730-7166,Research on Child and Adolescent Psychopathology,10.1007/s10802-020-00746-0,2021,5,181,"PSYCHOLOGY, CLINICAL"
2730-7166,Research on Child and Adolescent Psychopathology,10.1007/s10802-020-00757-x,2021,18,181,"PSYCHOLOGY, CLINICAL"
1046-1310,Current Psychology,10.1007/s12144-020-01320-z,2022,5,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1381-1118,Archives of Suicide Research,10.1080/13811118.2020.1865223,2022,1,259,"PSYCHOLOGY, MULTIDISCIPLINARY"
0009-3920,Child Development,10.1111/cdev.13499,2021,13,79,"PSYCHOLOGY, DEVELOPMENTAL"
1664-1078,Frontiers in Psychology,10.3389/fpsyg.2020.631816,2021,0,228,"PSYCHOLOGY, MULTIDISCIPLINARY"
2076-328X,Behavioral Sciences,10.3390/bs11010005,2021,94,251,"PSYCHOLOGY, MULTIDISCIPLINARY"
1943-3921,"Attention, Perception, &amp; Psychophysics",10.3758/s13414-020-02148-2,2021,1,470,PSYCHOLOGY
0033-3085,Psychology in the Schools,10.1002/pits.22395,2021,0,444,"PSYCHOLOGY, EDUCATIONAL"
0165-0653,International Journal for the Advancement of Counselling,10.1007/s10447-020-09419-5,2021,8,623,"PSYCHOLOGY, APPLIED"
