file,n_articles,citations_total
../data/raw/10421.jsonl.gz,23,732
../data/raw/10422.jsonl.gz,30,276
../data/raw/10423.jsonl.gz,41,304
../data/raw/10424.jsonl.gz,38,513
../data/raw/10425.jsonl.gz,44,642
../data/raw/10426.jsonl.gz,28,260
../data/raw/10427.jsonl.gz,22,150
../data/raw/10428.jsonl.gz,31,453
../data/raw/10429.jsonl.gz,26,310
../data/raw/1043.jsonl.gz,0,0
../data/raw/10430.jsonl.gz,42,535
../data/raw/10431.jsonl.gz,48,849
../data/raw/10432.jsonl.gz,52,498
../data/raw/10433.jsonl.gz,55,608
../data/raw/10434.jsonl.gz,16,156
../data/raw/10435.jsonl.gz,18,229
../data/raw/10436.jsonl.gz,15,122
../data/raw/10437.jsonl.gz,84,299
../data/raw/10438.jsonl.gz,38,195
../data/raw/10439.jsonl.gz,64,285
../data/raw/1044.jsonl.gz,0,0
../data/raw/10440.jsonl.gz,18,63
../data/raw/10441.jsonl.gz,43,96
../data/raw/10442.jsonl.gz,24,383
../data/raw/10443.jsonl.gz,11,83
../data/raw/10444.jsonl.gz,27,356
../data/raw/10445.jsonl.gz,28,201
../data/raw/10446.jsonl.gz,49,455
../data/raw/10447.jsonl.gz,36,892
../data/raw/10448.jsonl.gz,55,978
../data/raw/10449.jsonl.gz,43,463
../data/raw/1045.jsonl.gz,0,0
../data/raw/10450.jsonl.gz,33,395
../data/raw/10451.jsonl.gz,29,531
../data/raw/10452.jsonl.gz,22,227
../data/raw/10453.jsonl.gz,26,464
../data/raw/10454.jsonl.gz,35,265
../data/raw/10455.jsonl.gz,25,223
../data/raw/10456.jsonl.gz,46,392
../data/raw/10457.jsonl.gz,50,988
../data/raw/10458.jsonl.gz,50,680
../data/raw/10459.jsonl.gz,38,519
../data/raw/1046.jsonl.gz,0,0
../data/raw/10460.jsonl.gz,40,626
../data/raw/10461.jsonl.gz,22,229
../data/raw/10462.jsonl.gz,33,159
../data/raw/10463.jsonl.gz,21,290
../data/raw/10464.jsonl.gz,40,397
../data/raw/10465.jsonl.gz,23,284
../data/raw/10466.jsonl.gz,20,365
../data/raw/10467.jsonl.gz,22,427
../data/raw/10468.jsonl.gz,23,144
../data/raw/10469.jsonl.gz,34,291
../data/raw/1047.jsonl.gz,0,0
../data/raw/10470.jsonl.gz,39,373
../data/raw/10471.jsonl.gz,45,460
../data/raw/10472.jsonl.gz,38,202
../data/raw/10473.jsonl.gz,38,1222
../data/raw/10474.jsonl.gz,19,119
../data/raw/10475.jsonl.gz,26,477
../data/raw/10476.jsonl.gz,15,356
../data/raw/10477.jsonl.gz,41,729
../data/raw/10478.jsonl.gz,25,297
../data/raw/10479.jsonl.gz,24,181
../data/raw/1048.jsonl.gz,0,0
../data/raw/10480.jsonl.gz,30,325
../data/raw/10481.jsonl.gz,14,119
../data/raw/10482.jsonl.gz,23,168
../data/raw/10483.jsonl.gz,32,313
../data/raw/10484.jsonl.gz,35,346
../data/raw/10485.jsonl.gz,51,838
../data/raw/10486.jsonl.gz,28,201
../data/raw/10487.jsonl.gz,27,407
../data/raw/10488.jsonl.gz,25,364
../data/raw/10489.jsonl.gz,60,415
../data/raw/1049.jsonl.gz,0,0
../data/raw/10490.jsonl.gz,56,404
../data/raw/10491.jsonl.gz,37,140
../data/raw/10492.jsonl.gz,17,170
../data/raw/10493.jsonl.gz,46,400
../data/raw/10494.jsonl.gz,43,730
../data/raw/10495.jsonl.gz,47,427
../data/raw/10496.jsonl.gz,35,411
../data/raw/10497.jsonl.gz,67,1074
../data/raw/10498.jsonl.gz,38,384
../data/raw/10499.jsonl.gz,55,617
../data/raw/105.jsonl.gz,13,0
../data/raw/1050.jsonl.gz,0,0
../data/raw/10500.jsonl.gz,69,938
../data/raw/10501.jsonl.gz,74,711
../data/raw/10502.jsonl.gz,52,447
../data/raw/10503.jsonl.gz,26,261
../data/raw/10504.jsonl.gz,32,1056
../data/raw/10505.jsonl.gz,14,53
../data/raw/10506.jsonl.gz,44,474
../data/raw/10507.jsonl.gz,25,344
../data/raw/10508.jsonl.gz,41,423
../data/raw/10509.jsonl.gz,43,475
../data/raw/1051.jsonl.gz,0,0
../data/raw/10510.jsonl.gz,15,198
../data/raw/10511.jsonl.gz,30,140
../data/raw/10512.jsonl.gz,54,608
../data/raw/10513.jsonl.gz,29,608
../data/raw/10514.jsonl.gz,39,580
../data/raw/10515.jsonl.gz,37,521
../data/raw/10516.jsonl.gz,38,449
../data/raw/10517.jsonl.gz,48,551
../data/raw/10518.jsonl.gz,49,513
../data/raw/10519.jsonl.gz,25,271
../data/raw/1052.jsonl.gz,0,0
../data/raw/10520.jsonl.gz,19,118
../data/raw/10521.jsonl.gz,30,530
../data/raw/10522.jsonl.gz,18,56
../data/raw/10523.jsonl.gz,49,767
../data/raw/10524.jsonl.gz,27,772
../data/raw/10525.jsonl.gz,34,253
../data/raw/10526.jsonl.gz,52,2166
../data/raw/10527.jsonl.gz,53,578
../data/raw/10528.jsonl.gz,46,711
../data/raw/10529.jsonl.gz,38,683
../data/raw/1053.jsonl.gz,0,0
../data/raw/10530.jsonl.gz,47,437
../data/raw/10531.jsonl.gz,199,396
../data/raw/10532.jsonl.gz,208,199
../data/raw/10533.jsonl.gz,226,241
../data/raw/10534.jsonl.gz,40,434
../data/raw/10535.jsonl.gz,45,1005
../data/raw/10536.jsonl.gz,212,351
../data/raw/10537.jsonl.gz,252,330
../data/raw/10538.jsonl.gz,235,527
../data/raw/10539.jsonl.gz,25,296
../data/raw/1054.jsonl.gz,0,0
../data/raw/10540.jsonl.gz,9,38
../data/raw/10541.jsonl.gz,21,402
../data/raw/10542.jsonl.gz,45,767
../data/raw/10543.jsonl.gz,12,166
../data/raw/10544.jsonl.gz,20,323
../data/raw/10545.jsonl.gz,9,88
../data/raw/10546.jsonl.gz,26,517
../data/raw/10547.jsonl.gz,24,200
../data/raw/10548.jsonl.gz,34,195
../data/raw/10549.jsonl.gz,34,618
../data/raw/1055.jsonl.gz,0,0
../data/raw/10550.jsonl.gz,46,314
../data/raw/10551.jsonl.gz,27,679
../data/raw/10552.jsonl.gz,35,373
../data/raw/10553.jsonl.gz,19,119
../data/raw/10554.jsonl.gz,39,449
../data/raw/10555.jsonl.gz,64,705
../data/raw/10556.jsonl.gz,47,1249
../data/raw/10557.jsonl.gz,19,196
../data/raw/10558.jsonl.gz,48,575
../data/raw/10559.jsonl.gz,11,40
../data/raw/1056.jsonl.gz,0,0
../data/raw/10560.jsonl.gz,17,123
../data/raw/10561.jsonl.gz,31,444
../data/raw/10562.jsonl.gz,18,269
../data/raw/10563.jsonl.gz,38,443
../data/raw/10564.jsonl.gz,20,131
../data/raw/10565.jsonl.gz,17,198
../data/raw/10566.jsonl.gz,20,60
../data/raw/10567.jsonl.gz,21,221
../data/raw/10568.jsonl.gz,23,346
../data/raw/10569.jsonl.gz,23,444
../data/raw/1057.jsonl.gz,0,0
../data/raw/10570.jsonl.gz,23,293
../data/raw/10571.jsonl.gz,39,434
../data/raw/10572.jsonl.gz,34,547
../data/raw/10573.jsonl.gz,44,655
../data/raw/10574.jsonl.gz,41,532
../data/raw/10575.jsonl.gz,34,212
../data/raw/10576.jsonl.gz,80,1312
../data/raw/10577.jsonl.gz,28,224
../data/raw/10578.jsonl.gz,46,507
../data/raw/10579.jsonl.gz,16,341
../data/raw/1058.jsonl.gz,0,0
../data/raw/10580.jsonl.gz,12,63
../data/raw/10581.jsonl.gz,38,420
../data/raw/10582.jsonl.gz,16,61
../data/raw/10583.jsonl.gz,36,400
../data/raw/10584.jsonl.gz,33,381
../data/raw/10585.jsonl.gz,33,401
../data/raw/10586.jsonl.gz,46,521
../data/raw/10587.jsonl.gz,40,279
../data/raw/10588.jsonl.gz,46,208
../data/raw/10589.jsonl.gz,48,349
../data/raw/1059.jsonl.gz,0,0
../data/raw/10590.jsonl.gz,35,215
../data/raw/10591.jsonl.gz,29,536
../data/raw/10592.jsonl.gz,27,352
../data/raw/10593.jsonl.gz,38,571
../data/raw/10594.jsonl.gz,38,417
