Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected JIF Quartile: Q3;Q4 Indicator: Default,,,
,,,
Journal name,ISSN,eISSN,Category
STUDIA PSYCHOLOGICA,0039-3320,2585-8815,"PSYCHOLOGY, MULTIDISCIPLINARY"
THEORY & PSYCHOLOGY,0959-3543,1461-7447,"PSYCHOLOGY, MULTIDISCIPLINARY"
Journal for the Study of Education and Development,0210-3702,1578-4126,"PSYCHOLOGY, DEVELOPMENTAL"
Journal for the Study of Education and Development,0210-3702,1578-4126,"PSYCHOLOGY, EDUCATIONAL"
Evolutionary Psychology,1474-7049,1474-7049,"PSYCHOLOGY, EXPERIMENTAL"
CANADIAN JOURNAL OF EXPERIMENTAL PSYCHOLOGY-REVUE CANADIENNE DE PSYCHOLOGIE EXPERIMENTALE,1196-1961,1878-7290,"PSYCHOLOGY, EXPERIMENTAL"
MILITARY PSYCHOLOGY,0899-5605,1532-7876,"PSYCHOLOGY, MULTIDISCIPLINARY"
EXPERIMENTAL PSYCHOLOGY,1618-3169,2190-5142,"PSYCHOLOGY, EXPERIMENTAL"
JOURNAL OF MOTOR BEHAVIOR,0022-2895,1940-1027,PSYCHOLOGY
JOURNAL OF MOTOR BEHAVIOR,0022-2895,1940-1027,"PSYCHOLOGY, EXPERIMENTAL"
Advances in Autism,2056-3868,2056-3868,"PSYCHOLOGY, DEVELOPMENTAL"
International Journal of Educational Psychology,2014-3591,2014-3591,"PSYCHOLOGY, EDUCATIONAL"
Integrative Psychological and Behavioral Science,1932-4502,1936-3567,"PSYCHOLOGY, BIOLOGICAL"
Psychology in Russia-State of the Art,2074-6857,2307-2202,"PSYCHOLOGY, MULTIDISCIPLINARY"
REVISTA LATINOAMERICANA DE PSICOLOGIA,0120-0534,0120-0534,"PSYCHOLOGY, MULTIDISCIPLINARY"
BEHAVIORAL INTERVENTIONS,1072-0847,1099-078X,"PSYCHOLOGY, CLINICAL"
PSYCHOANALYTIC PSYCHOLOGY,0736-9735,1939-1331,"PSYCHOLOGY, CLINICAL"
BEHAVIORAL SCIENCES & THE LAW,0735-3936,1099-0798,"PSYCHOLOGY, APPLIED"
Psychotherapie,2731-7161,2731-717X,"PSYCHOLOGY, CLINICAL"
Decision-Washington,2325-9965,2325-9973,"PSYCHOLOGY, MULTIDISCIPLINARY"
Early Child Development and Care,0300-4430,1476-8275,"PSYCHOLOGY, DEVELOPMENTAL"
Papeles del Psicologo,0214-7823,1886-1415,"PSYCHOLOGY, MULTIDISCIPLINARY"
JOURNAL OF ADDICTIONS & OFFENDER COUNSELING,1055-3835,2161-1874,"PSYCHOLOGY, APPLIED"
APPLIED PSYCHOLOGICAL MEASUREMENT,0146-6216,1552-3497,"PSYCHOLOGY, MATHEMATICAL"
INTERNATIONAL JOURNAL FOR THE ADVANCEMENT OF COUNSELLING,0165-0653,1573-3246,"PSYCHOLOGY, APPLIED"
JOURNAL OF SOCIAL AND CLINICAL PSYCHOLOGY,0736-7236,N/A,"PSYCHOLOGY, CLINICAL"
JOURNAL OF SOCIAL AND CLINICAL PSYCHOLOGY,0736-7236,N/A,"PSYCHOLOGY, SOCIAL"
CONTEMPORARY FAMILY THERAPY,0892-2764,1573-3335,"PSYCHOLOGY, CLINICAL"
CULTURE & PSYCHOLOGY,1354-067X,1461-7056,"PSYCHOLOGY, MULTIDISCIPLINARY"
Residential Treatment for Children & Youth,0886-571X,1541-0358,"PSYCHOLOGY, CLINICAL"
Journal of Theoretical and Philosophical Psychology,1068-8471,2151-3341,"PSYCHOLOGY, MULTIDISCIPLINARY"
PSYCHOLOGICAL RECORD,0033-2933,2163-3452,"PSYCHOLOGY, MULTIDISCIPLINARY"
Journal of Experimental Psychopathology,N/A,2043-8087,"PSYCHOLOGY, CLINICAL"
INTERNATIONAL JOURNAL OF GROUP PSYCHOTHERAPY,0020-7284,1943-2836,"PSYCHOLOGY, CLINICAL"
Educational Psychology in Practice,0266-7363,1469-5839,"PSYCHOLOGY, EDUCATIONAL"
International Journal of AEROSPACE Psychology,2472-1832,2472-1840,"PSYCHOLOGY, APPLIED"
Journal of EMDR Practice and Research,1933-3196,1933-320X,PSYCHOLOGY
Journal of EMDR Practice and Research,1933-3196,1933-320X,"PSYCHOLOGY, CLINICAL"
SOCIAL BEHAVIOR AND PERSONALITY,0301-2212,1179-6391,"PSYCHOLOGY, SOCIAL"
ZEITSCHRIFT FUR ARBEITS-UND ORGANISATIONSPSYCHOLOGIE,0932-4089,2190-6270,"PSYCHOLOGY, APPLIED"
Advances in Cognitive Psychology,1895-1171,1895-1171,"PSYCHOLOGY, EXPERIMENTAL"
BRITISH JOURNAL OF GUIDANCE & COUNSELLING,0306-9885,1469-3534,"PSYCHOLOGY, APPLIED"
Current Issues in Personality Psychology,2353-4192,2353-561X,"PSYCHOLOGY, SOCIAL"
JOURNAL OF CONSTRUCTIVIST PSYCHOLOGY,1072-0537,1521-0650,"PSYCHOLOGY, CLINICAL"
Aloma-Revista de Psicologia Ciencies de l Educacio i de l Esport,1138-3194,2339-9694,"PSYCHOLOGY, MULTIDISCIPLINARY"
Acta Neuropsychologica,1730-7503,2084-4298,PSYCHOLOGY
Journal of Poetry Therapy,0889-3675,1567-2344,"PSYCHOLOGY, MULTIDISCIPLINARY"
Anuario De Psicologia Juridica,1133-0740,2174-0542,"PSYCHOLOGY, MULTIDISCIPLINARY"
International Journal of Social Psychology,0213-4748,1579-3680,"PSYCHOLOGY, SOCIAL"
Psychology of Leaders and Leadership,2769-6863,2769-6898,"PSYCHOLOGY, APPLIED"
LATERALITY,1357-650X,1464-0678,"PSYCHOLOGY, EXPERIMENTAL"
LATERALITY,1357-650X,1464-0678,"PSYCHOLOGY, MULTIDISCIPLINARY"
AMERICAN JOURNAL OF FAMILY THERAPY,0192-6187,1521-0383,"PSYCHOLOGY, CLINICAL"
Coaching-An International Journal of Theory Research and Practice,1752-1882,1752-1890,"PSYCHOLOGY, APPLIED"
Journal of Spirituality in Mental Health,1934-9637,1934-9645,"PSYCHOLOGY, APPLIED"
Peace and Conflict-Journal of Peace Psychology,1078-1919,1532-7949,"PSYCHOLOGY, SOCIAL"
Psihologija,0048-5705,N/A,"PSYCHOLOGY, MULTIDISCIPLINARY"
Psychology and Developing Societies,0971-3336,0973-0761,"PSYCHOLOGY, MULTIDISCIPLINARY"
Consulting Psychology Journal-Practice and Research,1065-9293,1939-0149,"PSYCHOLOGY, APPLIED"
Journal of Prevention & Intervention in the Community,1085-2352,1540-7330,"PSYCHOLOGY, MULTIDISCIPLINARY"
AMERICAN JOURNAL OF PSYCHOLOGY,0002-9556,1939-8298,"PSYCHOLOGY, MULTIDISCIPLINARY"
JOURNAL OF PSYCHOPHYSIOLOGY,0269-8803,2151-2124,"PSYCHOLOGY, BIOLOGICAL"
International Journal of Evidence Based Coaching & Mentoring,1741-8305,1741-8305,"PSYCHOLOGY, APPLIED"
Journal of Pediatric Neuropsychology,2199-2681,2199-2673,PSYCHOLOGY
Journal of Pediatric Neuropsychology,2199-2681,2199-2673,"PSYCHOLOGY, CLINICAL"
Journal of Pediatric Neuropsychology,2199-2681,2199-2673,"PSYCHOLOGY, DEVELOPMENTAL"
Archive for the Psychology of Religion-Archiv fur Religionspsychologie,0084-6724,1573-6121,"PSYCHOLOGY, MULTIDISCIPLINARY"
Pastoral Psychology,0031-2789,1573-6679,"PSYCHOLOGY, MULTIDISCIPLINARY"
ZEITSCHRIFT FUR PSYCHOSOMATISCHE MEDIZIN UND PSYCHOTHERAPIE,1438-3608,2196-8349,PSYCHOLOGY
ZEITSCHRIFT FUR PSYCHOSOMATISCHE MEDIZIN UND PSYCHOTHERAPIE,1438-3608,2196-8349,"PSYCHOLOGY, CLINICAL"
ZEITSCHRIFT FUR PSYCHOSOMATISCHE MEDIZIN UND PSYCHOTHERAPIE,1438-3608,2196-8349,"PSYCHOLOGY, MULTIDISCIPLINARY"
Revista de Psicologia Clinica con Ninos y Adolescentes,2340-8340,2340-8340,"PSYCHOLOGY, DEVELOPMENTAL"
DREAMING,1053-0797,1573-3351,"PSYCHOLOGY, MULTIDISCIPLINARY"
JOURNAL OF EDUCATIONAL AND PSYCHOLOGICAL CONSULTATION,1047-4412,1532-768X,"PSYCHOLOGY, EDUCATIONAL"
Journal of Investigative Psychology and Offender Profiling,1544-4759,1544-4767,"PSYCHOLOGY, APPLIED"
KINDHEIT UND ENTWICKLUNG,0942-5403,2190-6246,"PSYCHOLOGY, DEVELOPMENTAL"
Advances in Dual Diagnosis,1757-0972,2042-8324,"PSYCHOLOGY, CLINICAL"
Journal of Motor Learning and Development,2325-3193,2325-3215,"PSYCHOLOGY, DEVELOPMENTAL"
Journal of Motor Learning and Development,2325-3193,2325-3215,"PSYCHOLOGY, EXPERIMENTAL"
Journal of Psychology in Africa,1433-0237,1815-5626,"PSYCHOLOGY, MULTIDISCIPLINARY"
JOURNAL OF MULTICULTURAL COUNSELING AND DEVELOPMENT,0883-8534,2161-1912,"PSYCHOLOGY, APPLIED"
Zeitschrift fur Sexualforschung,0932-8114,1438-9460,"PSYCHOLOGY, CLINICAL"
GeroPsych-The Journal of Gerontopsychology and Geriatric Psychiatry,1662-9647,1662-971X,"PSYCHOLOGY, DEVELOPMENTAL"
Terapia Psicologica,0718-4808,0718-4808,"PSYCHOLOGY, CLINICAL"
JAPANESE PSYCHOLOGICAL RESEARCH,0021-5368,1468-5884,"PSYCHOLOGY, MULTIDISCIPLINARY"
Journal of Evidence-Based Psychotherapies,2360-0853,N/A,"PSYCHOLOGY, CLINICAL"
AMERICAN JOURNAL OF DANCE THERAPY,0146-3721,1573-3262,"PSYCHOLOGY, MULTIDISCIPLINARY"
Journal of Humanistic Counseling,2159-0311,2161-1939,"PSYCHOLOGY, APPLIED"
Psicologica,0211-2159,1576-8597,"PSYCHOLOGY, EXPERIMENTAL"
Clinical Case Studies,1534-6501,1552-3802,"PSYCHOLOGY, CLINICAL"
GIO-Gruppe-Interaktion-Organisation-Zeitschrift fuer Angewandte Organisationspsychologie,2366-6145,2366-6218,"PSYCHOLOGY, SOCIAL"
Journal of Creativity in Mental Health,1540-1383,1540-1391,"PSYCHOLOGY, CLINICAL"
Studies in Psychology,0210-9395,1579-3699,"PSYCHOLOGY, MULTIDISCIPLINARY"
Interdisciplinaria,1668-7027,1668-7027,"PSYCHOLOGY, MULTIDISCIPLINARY"
TEACHING OF PSYCHOLOGY,0098-6283,1532-8023,"PSYCHOLOGY, MULTIDISCIPLINARY"
Psikhologicheskaya Nauka i Obrazovanie-Psychological Science and Education,1814-2052,2311-7273,"PSYCHOLOGY, MULTIDISCIPLINARY"
Journal of Forensic Psychology Research and Practice,2473-2850,2473-2842,"PSYCHOLOGY, MULTIDISCIPLINARY"
Journal of LGBTQ Issues in Counseling,2692-4951,2692-496X,"PSYCHOLOGY, APPLIED"
TPM-Testing Psychometrics Methodology in Applied Psychology,1972-6325,N/A,"PSYCHOLOGY, APPLIED"
Journal of Couple & Relationship Therapy-Innovations in Clinical and Educational Interventions,1533-2691,1533-2683,"PSYCHOLOGY, CLINICAL"
Journal of Occupational Therapy Schools and Early Intervention,1941-1243,1941-1251,"PSYCHOLOGY, EDUCATIONAL"
Psyecology-Bilingual Journal of Environmental Psychology-Revista Bilingue de Psicologia Ambiental,2171-1976,1989-9386,"PSYCHOLOGY, MULTIDISCIPLINARY"
Analysis of Verbal Behavior,0889-9401,2196-8926,"PSYCHOLOGY, MULTIDISCIPLINARY"
PSYCHOTHERAPIE PSYCHOSOMATIK MEDIZINISCHE PSYCHOLOGIE,0937-2032,1439-1058,"PSYCHOLOGY, CLINICAL"
Revista de Psicologia del Deporte,1132-239X,1988-5636,"PSYCHOLOGY, APPLIED"
Behavioral Psychology-Psicologia Conductual,1132-9483,1132-9483,"PSYCHOLOGY, CLINICAL"
Counseling and Values,0160-7960,2161-007X,"PSYCHOLOGY, APPLIED"
Journal of Psychological and Educational Research,2247-1537,2247-1537,"PSYCHOLOGY, EDUCATIONAL"
NEUROCASE,1355-4794,1465-3656,PSYCHOLOGY
Revista Espanola de Orientacion y Psicopedagogia,1989-7448,1989-7448,"PSYCHOLOGY, APPLIED"
International Journal of Psychology and Psychological Therapy,1577-7057,1989-2780,"PSYCHOLOGY, MULTIDISCIPLINARY"
Neuropsychological Trends,1970-321X,1970-3201,PSYCHOLOGY
Acta Colombiana de Psicologia,0123-9155,1909-9711,"PSYCHOLOGY, CLINICAL"
VERHALTENSTHERAPIE,1016-6262,1423-0402,"PSYCHOLOGY, CLINICAL"
PSYCHOLOGIST,0952-8229,0952-8229,"PSYCHOLOGY, MULTIDISCIPLINARY"
Psychomusicology,0275-3987,2162-1535,"PSYCHOLOGY, EXPERIMENTAL"
ETHOS,0091-2131,1548-1352,"PSYCHOLOGY, MULTIDISCIPLINARY"
International Journal of Play,2159-4937,2159-4953,"PSYCHOLOGY, MULTIDISCIPLINARY"
Nonlinear Dynamics Psychology and Life Sciences,1090-0578,1573-6652,"PSYCHOLOGY, MATHEMATICAL"
Nordic Psychology,1901-2276,1904-0016,"PSYCHOLOGY, MULTIDISCIPLINARY"
ZEITSCHRIFT FUR KLINISCHE PSYCHOLOGIE UND PSYCHOTHERAPIE,1616-3443,2190-6297,"PSYCHOLOGY, CLINICAL"
Kulturno-Istoricheskaya Psikhologiya-Cultural-Historical Psychology,1816-5435,2224-8935,"PSYCHOLOGY, MULTIDISCIPLINARY"
Journal of Cognition and Culture,1567-7095,1568-5373,"PSYCHOLOGY, MULTIDISCIPLINARY"
Sexual Health & Compulsivity,2692-9953,2692-9996,"PSYCHOLOGY, CLINICAL"
Journal of Cognitive Psychotherapy,0889-8391,1938-887X,"PSYCHOLOGY, CLINICAL"
Revista Iberoamericana de Diagnostico y Evaluacion-e Avaliacao Psicologica,2183-6051,2183-6051,"PSYCHOLOGY, CLINICAL"
DIAGNOSTICA,0012-1924,2190-622X,"PSYCHOLOGY, CLINICAL"
INTERNATIONAL JOURNAL OF SPORT PSYCHOLOGY,0047-0767,N/A,PSYCHOLOGY
INTERNATIONAL JOURNAL OF SPORT PSYCHOLOGY,0047-0767,N/A,"PSYCHOLOGY, MULTIDISCIPLINARY"
Pratiques Psychologiques,1269-1763,N/A,PSYCHOLOGY
Pratiques Psychologiques,1269-1763,N/A,"PSYCHOLOGY, MULTIDISCIPLINARY"
Electronic Journal of Research in Educational Psychology,1699-5880,1696-2095,"PSYCHOLOGY, EDUCATIONAL"
European Journal of Mental Health,1788-4934,1788-7119,"PSYCHOLOGY, CLINICAL"
Liberabit-Revista de Psicologia,1729-4827,2223-7666,"PSYCHOLOGY, MULTIDISCIPLINARY"
Anuario de Psicologia,0066-5126,1988-5253,PSYCHOLOGY
Anuario de Psicologia,0066-5126,1988-5253,"PSYCHOLOGY, MULTIDISCIPLINARY"
Psychologica,0871-4657,1647-8606,"PSYCHOLOGY, MULTIDISCIPLINARY"
International Journal of Emotional Education,2073-7629,2073-7629,"PSYCHOLOGY, EDUCATIONAL"
Journal of Youth Development,2325-4017,2325-4017,"PSYCHOLOGY, DEVELOPMENTAL"
Psicologia Sociale,1827-2517,2612-2006,"PSYCHOLOGY, SOCIAL"
Negotiation and Conflict Management Research,1750-4708,1750-4716,"PSYCHOLOGY, APPLIED"
Person-Centered and Experiential Psychotherapies,1477-9757,1752-9182,"PSYCHOLOGY, CLINICAL"
ANNEE PSYCHOLOGIQUE,0003-5033,1955-2580,"PSYCHOLOGY, MULTIDISCIPLINARY"
PSYCHOLOGIA,0033-2852,1347-5916,"PSYCHOLOGY, MULTIDISCIPLINARY"
Journal of Measurement and Evaluation in Education and Psychology-EPOD,1309-6575,1309-6575,"PSYCHOLOGY, EDUCATIONAL"
Ansiedad y Estres-Anxiety and Stress,1134-7937,2174-0437,"PSYCHOLOGY, CLINICAL"
Journal of Muslim Mental Health,1556-4908,1556-5009,"PSYCHOLOGY, MULTIDISCIPLINARY"
Social Psychology and Society,2221-1527,2311-7052,"PSYCHOLOGY, APPLIED"
ANNALES MEDICO-PSYCHOLOGIQUES,0003-4487,1769-6631,PSYCHOLOGY
Konsultativnaya Psikhologiya i Psikhoterapiya-Counseling Psychology and Psychotherapy,2075-3470,2311-9446,"PSYCHOLOGY, CLINICAL"
Psychotherapy and Politics International,1476-9263,1556-9195,"PSYCHOLOGY, MULTIDISCIPLINARY"
TRAVAIL HUMAIN,0041-1868,2104-3663,PSYCHOLOGY
TRAVAIL HUMAIN,0041-1868,2104-3663,"PSYCHOLOGY, APPLIED"
CESKOSLOVENSKA PSYCHOLOGIE,0009-062X,1804-6436,"PSYCHOLOGY, MULTIDISCIPLINARY"
Primenjena Psihologija,1821-0147,2334-7287,"PSYCHOLOGY, MULTIDISCIPLINARY"
Psychology-Journal of the Higher School of Economics,1813-8918,1813-8918,"PSYCHOLOGY, MULTIDISCIPLINARY"
Zeitschrift fur Neuropsychologie,1016-264X,1664-2902,PSYCHOLOGY
PSIKHOLOGICHESKII ZHURNAL,0205-9592,N/A,"PSYCHOLOGY, MULTIDISCIPLINARY"
Revista Iberoamericana de Psicologia del Ejercicio y el Deporte,1886-8576,2340-7700,"PSYCHOLOGY, APPLIED"
Revista Argentina de Ciencias del Comportamiento,1852-4206,1852-4206,"PSYCHOLOGY, MULTIDISCIPLINARY"
International Journal of Applied Psychoanalytic Studies,1742-3341,1556-9187,"PSYCHOLOGY, PSYCHOANALYSIS"
JOURNAL OF PSYCHOLOGY AND THEOLOGY,0091-6471,2328-1162,"PSYCHOLOGY, MULTIDISCIPLINARY"
PSYCHOANALYTIC INQUIRY,0735-1690,1940-9133,"PSYCHOLOGY, PSYCHOANALYSIS"
Psychoanalytic Study of the Child,0079-7308,2474-3356,"PSYCHOLOGY, PSYCHOANALYSIS"
Papers on Social Representations,1021-5573,1819-3978,"PSYCHOLOGY, SOCIAL"
Body Movement and Dance in Psychotherapy,1743-2979,1743-2987,"PSYCHOLOGY, CLINICAL"
CHILD & FAMILY BEHAVIOR THERAPY,0731-7107,1545-228X,"PSYCHOLOGY, CLINICAL"
Canadian Journal of Career Development,1499-1845,1499-1853,"PSYCHOLOGY, APPLIED"
Psihologijske teme,1332-0742,1849-0395,"PSYCHOLOGY, MULTIDISCIPLINARY"
Psychology and Law,2222-5196,2222-5196,"PSYCHOLOGY, MULTIDISCIPLINARY"
Zeitschrift fur Sportpsychologie,1612-5010,2190-6300,"PSYCHOLOGY, APPLIED"
Eksperimentalnaya Psikhologiya,2072-7593,2311-7036,"PSYCHOLOGY, EXPERIMENTAL"
International Journal of Systemic Therapy,2692-398X,2692-3998,"PSYCHOLOGY, CLINICAL"
PRAXIS DER KINDERPSYCHOLOGIE UND KINDERPSYCHIATRIE,0032-7034,2196-8225,"PSYCHOLOGY, DEVELOPMENTAL"
Psychologie Francaise,0033-2984,0033-2984,"PSYCHOLOGY, MULTIDISCIPLINARY"
JOURNAL OF CHILD PSYCHOTHERAPY,0075-417X,1469-9370,"PSYCHOLOGY, CLINICAL"
Organizatsionnaya Psikologiya,2312-5942,2312-5942,"PSYCHOLOGY, APPLIED"
Psicoterapia e Scienze Umane,0394-2864,1972-5043,"PSYCHOLOGY, CLINICAL"
Accion Psicologica,1578-908X,2255-1271,"PSYCHOLOGY, MULTIDISCIPLINARY"
Cyprus Turkish Journal of Psychiatry and Psychology,1302-7840,2667-8225,"PSYCHOLOGY, MULTIDISCIPLINARY"
REVISTA MEXICANA DE PSICOLOGIA,0185-6073,N/A,"PSYCHOLOGY, MULTIDISCIPLINARY"
European Journal of Psychotherapy & Counselling,1364-2537,1469-5901,"PSYCHOLOGY, CLINICAL"
Psicodebate-Psicologia Cultura y Sociedad,1515-2251,2451-6600,"PSYCHOLOGY, MULTIDISCIPLINARY"
Quaderns de Psicologia,0211-3481,2014-4520,"PSYCHOLOGY, MULTIDISCIPLINARY"
Geriatrie et Psychologie Neuropsychiatrie du Vieillissement,2115-8789,2115-7863,PSYCHOLOGY
Current Research in Social Psychology,1088-7423,1088-7423,"PSYCHOLOGY, SOCIAL"
Organisational and Social Dynamics,1474-2780,2044-3765,"PSYCHOLOGY, APPLIED"
Psicologia Clinica dello Sviluppo,1824-078X,1824-078X,"PSYCHOLOGY, DEVELOPMENTAL"
Psychoanalysis and History,1460-8235,1755-201X,"PSYCHOLOGY, PSYCHOANALYSIS"
Journal of Child and Adolescent Mental Health,1728-0583,1728-0591,"PSYCHOLOGY, CLINICAL"
Psychodynamic Practice,1475-3634,1475-3626,"PSYCHOLOGY, CLINICAL"
Psychodynamic Practice,1475-3634,1475-3626,"PSYCHOLOGY, PSYCHOANALYSIS"
Gedrag & Organisatie,0921-5077,1875-7235,"PSYCHOLOGY, APPLIED"
Gedrag & Organisatie,0921-5077,1875-7235,"PSYCHOLOGY, SOCIAL"
Clinical Psychology and Special Education,2304-0394,2304-0394,"PSYCHOLOGY, CLINICAL"
Revista de Psicoterapia,1130-5142,2339-7950,"PSYCHOLOGY, CLINICAL"
Journal of Educational Cultural and Psychological Studies,2037-7932,2037-7924,"PSYCHOLOGY, EDUCATIONAL"
PSYCHOLOGIE IN ERZIEHUNG UND UNTERRICHT,0342-183X,0342-183X,"PSYCHOLOGY, EDUCATIONAL"
Revista de Psicologia PUCP,0254-9247,2223-3733,"PSYCHOLOGY, MULTIDISCIPLINARY"
Sibirskiy Psikhologicheskiy Zhurnal-Siberian Journal of Psychology,1726-7080,2411-0809,"PSYCHOLOGY, MULTIDISCIPLINARY"
Journal of Cognitive Education and Psychology,1945-8959,1810-7621,"PSYCHOLOGY, EDUCATIONAL"
Psychologie du Travail et des Organisations,1420-2530,1420-2530,"PSYCHOLOGY, APPLIED"
Revista Costarricense de Psicologia,0257-1439,1659-2913,"PSYCHOLOGY, MULTIDISCIPLINARY"
Revista De Historia De La Psicologia,0211-0040,2445-0928,"PSYCHOLOGY, MULTIDISCIPLINARY"
Universitas Psychologica,1657-9267,N/A,"PSYCHOLOGY, MULTIDISCIPLINARY"
Cuadernos de Neuropsicologia-Panamerican Journal of Neuropsychology,0718-4123,0718-4123,"PSYCHOLOGY, BIOLOGICAL"
Eureka-Revista Cientifica de Psicologia,2218-0559,2220-9026,"PSYCHOLOGY, MULTIDISCIPLINARY"
FORUM DER PSYCHOANALYSE,0178-7667,1437-0751,"PSYCHOLOGY, PSYCHOANALYSIS"
PSYCHE-ZEITSCHRIFT FUR PSYCHOANALYSE UND IHRE ANWENDUNGEN,0033-2623,N/A,"PSYCHOLOGY, PSYCHOANALYSIS"
Rivista Internazionale di Filosofia e Psicologia,2039-4667,2239-2629,"PSYCHOLOGY, MULTIDISCIPLINARY"
Journal of Psychosocial Studies,1478-6737,1478-6737,"PSYCHOLOGY, MULTIDISCIPLINARY"
Studies in Psychology-Psikoloji Calismalari Dergisi,1304-4680,2602-2982,"PSYCHOLOGY, MULTIDISCIPLINARY"
Actualidades en Psicologia,0258-6444,2215-3535,PSYCHOLOGY
Asia Pacific Journal of Counselling and Psychotherapy,2150-7686,2150-7708,"PSYCHOLOGY, CLINICAL"
Suicidology,2224-1264,2224-1264,"PSYCHOLOGY, MULTIDISCIPLINARY"
Revista CES Psicologia,2011-3080,2011-3080,"PSYCHOLOGY, MULTIDISCIPLINARY"
VOPROSY PSIKHOLOGII,0042-8841,0042-8841,"PSYCHOLOGY, EDUCATIONAL"
Avances en Psicologia Latinoamericana,1794-4724,2145-4515,PSYCHOLOGY
GRUPPENPSYCHOTHERAPIE UND GRUPPENDYNAMIK,0017-4947,2196-7989,"PSYCHOLOGY, CLINICAL"
TURK PSIKOLOJI DERGISI,1300-4433,1300-4433,"PSYCHOLOGY, MULTIDISCIPLINARY"
Pensando Psicologia,1900-3099,2382-3984,"PSYCHOLOGY, MULTIDISCIPLINARY"
Zeitschrift fuer Individualpsychologie,0342-393X,2196-8330,"PSYCHOLOGY, PSYCHOANALYSIS"
Psychological Perspectives-A Quarterly Journal of Jungian Thought,0033-2925,1556-3030,"PSYCHOLOGY, PSYCHOANALYSIS"
Ricerche di Psicologia,0391-6081,1972-5620,PSYCHOLOGY
NEW ZEALAND JOURNAL OF PSYCHOLOGY,0112-109X,1179-7924,"PSYCHOLOGY, MULTIDISCIPLINARY"
Enfance,0013-7545,1969-6981,"PSYCHOLOGY, DEVELOPMENTAL"
Psicologia Conocimiento y Sociedad,1688-7026,1688-7026,"PSYCHOLOGY, MULTIDISCIPLINARY"
Psycho-Oncologie,1778-3798,1778-381X,PSYCHOLOGY
Diversitas-Perspectivas en Psicologia,1794-9998,2256-3067,"PSYCHOLOGY, MULTIDISCIPLINARY"
ARQUIVOS BRASILEROS DE PSICOLOGIA,1809-5267,1809-5267,"PSYCHOLOGY, MULTIDISCIPLINARY"
Calidad de Vida y Salud,1850-6216,1850-6216,"PSYCHOLOGY, MULTIDISCIPLINARY"
International Journal of Integrative Psychotherapy,2156-9703,2156-9703,"PSYCHOLOGY, CLINICAL"
Desde el Jardin de Freud-Revista de Psicoanalisis,1657-3986,2256-5477,"PSYCHOLOGY, PSYCHOANALYSIS"
Filigrane-Revue de Psychanalyse,1192-1412,1911-4656,"PSYCHOLOGY, PSYCHOANALYSIS"
ECOS-Estudos Contemporaneos da Subjetividade,2237-941X,2237-941X,"PSYCHOLOGY, MULTIDISCIPLINARY"
Indian Journal of Psychological Science,0976-9218,0976-9218,"PSYCHOLOGY, MULTIDISCIPLINARY"
Revista Chilena de Neuropsicologia,0718-4913,0718-4913,"PSYCHOLOGY, BIOLOGICAL"
Rivista di Psicologia dell Emergenza e dell Assistenza Umanitaria,2280-9120,2280-9120,"PSYCHOLOGY, CLINICAL"
PsyArt Journal-Online Journal for the Psychological Study of the Arts,N/A,1088-5870,"PSYCHOLOGY, MULTIDISCIPLINARY"
Revista Clinica Contemporanea,1989-9912,1989-9912,"PSYCHOLOGY, CLINICAL"
