Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected JIF Quartile: Q1;Q2 Indicator: Default,,,
,,,
Journal name,ISSN,eISSN,Category
Research on Child and Adolescent Psychopathology,2730-7166,2730-7174,"PSYCHOLOGY, DEVELOPMENTAL"
Performance Enhancement & Health,2211-2669,2211-2669,"PSYCHOLOGY, APPLIED"
PSYCHOSOMATIC MEDICINE,0033-3174,1534-7796,PSYCHOLOGY
PSYCHOSOMATIC MEDICINE,0033-3174,1534-7796,"PSYCHOLOGY, MULTIDISCIPLINARY"
JOURNAL OF APPLIED BEHAVIOR ANALYSIS,0021-8855,1938-3703,"PSYCHOLOGY, CLINICAL"
COGNITIVE AND BEHAVIORAL PRACTICE,1077-7229,1878-187X,"PSYCHOLOGY, CLINICAL"
HUMAN FACTORS,0018-7208,1547-8181,PSYCHOLOGY
HUMAN FACTORS,0018-7208,1547-8181,"PSYCHOLOGY, APPLIED"
COGNITIVE THERAPY AND RESEARCH,0147-5916,1573-2819,"PSYCHOLOGY, CLINICAL"
HUMAN PERFORMANCE,0895-9285,1532-7043,"PSYCHOLOGY, APPLIED"
Journal of Mental Health,0963-8237,1360-0567,"PSYCHOLOGY, CLINICAL"
JOURNAL OF EXPERIMENTAL EDUCATION,0022-0973,1940-0683,"PSYCHOLOGY, EDUCATIONAL"
Spanish Journal of Psychology,1138-7416,1988-2904,PSYCHOLOGY
Spanish Journal of Psychology,1138-7416,1988-2904,"PSYCHOLOGY, MULTIDISCIPLINARY"
Review Journal of Autism and Developmental Disorders,2195-7177,2195-7185,"PSYCHOLOGY, DEVELOPMENTAL"
JOURNAL OF CREATIVE BEHAVIOR,0022-0175,2162-6057,"PSYCHOLOGY, EDUCATIONAL"
EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY,0046-2772,1099-0992,"PSYCHOLOGY, SOCIAL"
Psychology Research and Behavior Management,1179-1578,1179-1578,"PSYCHOLOGY, CLINICAL"
Psychology Research and Behavior Management,1179-1578,1179-1578,"PSYCHOLOGY, MULTIDISCIPLINARY"
Cognition,0010-0277,1873-7838,"PSYCHOLOGY, EXPERIMENTAL"
Journal of Intelligence,N/A,2079-3200,"PSYCHOLOGY, MULTIDISCIPLINARY"
JOURNAL OF CAREER ASSESSMENT,1069-0727,1552-4590,"PSYCHOLOGY, APPLIED"
JOURNAL OF BEHAVIORAL MEDICINE,0160-7715,1573-3521,"PSYCHOLOGY, CLINICAL"
BIOLOGICAL PSYCHOLOGY,0301-0511,1873-6246,PSYCHOLOGY
BIOLOGICAL PSYCHOLOGY,0301-0511,1873-6246,"PSYCHOLOGY, BIOLOGICAL"
BIOLOGICAL PSYCHOLOGY,0301-0511,1873-6246,"PSYCHOLOGY, EXPERIMENTAL"
JOURNAL OF PERSONALITY ASSESSMENT,0022-3891,1532-7752,"PSYCHOLOGY, CLINICAL"
JOURNAL OF PERSONALITY ASSESSMENT,0022-3891,1532-7752,"PSYCHOLOGY, SOCIAL"
Journal of Pacific Rim Psychology,1834-4909,1834-4909,"PSYCHOLOGY, MULTIDISCIPLINARY"
INFANT AND CHILD DEVELOPMENT,1522-7227,1522-7219,"PSYCHOLOGY, DEVELOPMENTAL"
Psychology of Aesthetics Creativity and the Arts,1931-3896,1931-390X,"PSYCHOLOGY, EXPERIMENTAL"
Psychological Trauma-Theory Research Practice and Policy,1942-9681,1942-969X,"PSYCHOLOGY, CLINICAL"
JOURNAL OF SEX RESEARCH,0022-4499,1559-8519,"PSYCHOLOGY, CLINICAL"
JOURNAL OF FAMILY VIOLENCE,0885-7482,1573-2851,"PSYCHOLOGY, CLINICAL"
EUROPEAN JOURNAL OF PSYCHOLOGY OF EDUCATION,0256-2928,1878-5174,"PSYCHOLOGY, EDUCATIONAL"
BMC Psychology,N/A,2050-7283,"PSYCHOLOGY, MULTIDISCIPLINARY"
Work Aging and Retirement,2054-4642,2054-4650,"PSYCHOLOGY, APPLIED"
Psychological Injury & Law,1938-971X,1938-9728,"PSYCHOLOGY, CLINICAL"
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-APPLIED,1076-898X,1939-2192,"PSYCHOLOGY, APPLIED"
AGGRESSIVE BEHAVIOR,0096-140X,1098-2337,"PSYCHOLOGY, MULTIDISCIPLINARY"
Educational Measurement-Issues and Practice,0731-1745,1745-3992,"PSYCHOLOGY, EDUCATIONAL"
JOURNAL OF APPLIED SPORT PSYCHOLOGY,1041-3200,1533-1571,PSYCHOLOGY
JOURNAL OF APPLIED SPORT PSYCHOLOGY,1041-3200,1533-1571,"PSYCHOLOGY, APPLIED"
JOURNAL OF PEDIATRIC PSYCHOLOGY,0146-8693,1465-735X,"PSYCHOLOGY, DEVELOPMENTAL"
SUICIDE AND LIFE-THREATENING BEHAVIOR,0363-0234,1943-278X,"PSYCHOLOGY, MULTIDISCIPLINARY"
Journal of Attention Disorders,1087-0547,1557-1246,"PSYCHOLOGY, DEVELOPMENTAL"
Psychology of Men & Masculinities,1524-9220,1939-151X,"PSYCHOLOGY, SOCIAL"
Stigma and Health,2376-6972,2376-6964,"PSYCHOLOGY, SOCIAL"
AMERICAN JOURNAL OF DRUG AND ALCOHOL ABUSE,0095-2990,1097-9891,"PSYCHOLOGY, CLINICAL"
JOURNAL OF COMMUNITY & APPLIED SOCIAL PSYCHOLOGY,1052-9284,1099-1298,"PSYCHOLOGY, SOCIAL"
Journal of the Academy of Consultation-Liaison Psychiatry,2667-2960,2667-2960,PSYCHOLOGY
PSYCHOLOGICA BELGICA,0033-2879,0033-2879,"PSYCHOLOGY, MULTIDISCIPLINARY"
Studies in Educational Evaluation,0191-491X,N/A,"PSYCHOLOGY, EDUCATIONAL"
INSTRUCTIONAL SCIENCE,0020-4277,1573-1952,"PSYCHOLOGY, EDUCATIONAL"
FAMILY PROCESS,0014-7370,1545-5300,"PSYCHOLOGY, CLINICAL"
JOURNAL OF INTERPERSONAL VIOLENCE,0886-2605,1552-6518,"PSYCHOLOGY, APPLIED"
Frontiers in Psychology,1664-1078,1664-1078,"PSYCHOLOGY, MULTIDISCIPLINARY"
Emerging Adulthood,2167-6968,2167-6984,"PSYCHOLOGY, DEVELOPMENTAL"
Emerging Adulthood,2167-6968,2167-6984,"PSYCHOLOGY, SOCIAL"
JOURNAL OF RESEARCH IN PERSONALITY,0092-6566,1095-7251,"PSYCHOLOGY, SOCIAL"
PSYCHOTHERAPY,0033-3204,1939-1536,"PSYCHOLOGY, CLINICAL"
PSYCHOTHERAPY RESEARCH,1050-3307,1468-4381,"PSYCHOLOGY, CLINICAL"
JOURNAL OF THE INTERNATIONAL NEUROPSYCHOLOGICAL SOCIETY,1355-6177,1469-7661,PSYCHOLOGY
BEHAVIOR GENETICS,0001-8244,1573-3297,"PSYCHOLOGY, MULTIDISCIPLINARY"
PSYCHOLOGY AND PSYCHOTHERAPY-THEORY RESEARCH AND PRACTICE,1476-0835,2044-8341,PSYCHOLOGY
PSYCHOLOGY AND PSYCHOTHERAPY-THEORY RESEARCH AND PRACTICE,1476-0835,2044-8341,"PSYCHOLOGY, CLINICAL"
JOURNAL OF CAREER DEVELOPMENT,0894-8453,1556-0856,"PSYCHOLOGY, APPLIED"
NEUROPSYCHOLOGY,0894-4105,1931-1559,PSYCHOLOGY
NEUROPSYCHOLOGY,0894-4105,1931-1559,"PSYCHOLOGY, CLINICAL"
BRITISH JOURNAL OF DEVELOPMENTAL PSYCHOLOGY,0261-510X,2044-835X,"PSYCHOLOGY, DEVELOPMENTAL"
COGNITION & EMOTION,0269-9931,1464-0600,"PSYCHOLOGY, EXPERIMENTAL"
Sport Exercise and Performance Psychology,2157-3905,2157-3913,"PSYCHOLOGY, APPLIED"
INTERNATIONAL JOURNAL OF SELECTION AND ASSESSMENT,0965-075X,1468-2389,"PSYCHOLOGY, APPLIED"
COGNITIVE NEUROPSYCHOLOGY,0264-3294,1464-0627,PSYCHOLOGY
COGNITIVE NEUROPSYCHOLOGY,0264-3294,1464-0627,"PSYCHOLOGY, EXPERIMENTAL"
Bilingualism-Language and Cognition,1366-7289,1469-1841,"PSYCHOLOGY, EXPERIMENTAL"
PSYCHOLOGY OF WOMEN QUARTERLY,0361-6843,1471-6402,"PSYCHOLOGY, MULTIDISCIPLINARY"
Autism & Developmental Language Impairments,2396-9415,2396-9415,"PSYCHOLOGY, DEVELOPMENTAL"
Journal of Black Psychology,0095-7984,1552-4558,"PSYCHOLOGY, MULTIDISCIPLINARY"
Journal of Diversity in Higher Education,1938-8926,1938-8934,"PSYCHOLOGY, EDUCATIONAL"
Journal of Diversity in Higher Education,1938-8926,1938-8934,"PSYCHOLOGY, SOCIAL"
JOURNAL OF LOSS & TRAUMA,1532-5024,1532-5032,"PSYCHOLOGY, SOCIAL"
JOURNAL OF ECONOMIC PSYCHOLOGY,0167-4870,1872-7719,"PSYCHOLOGY, MULTIDISCIPLINARY"
CURRENT PSYCHOLOGY,1046-1310,1936-4733,"PSYCHOLOGY, MULTIDISCIPLINARY"
Behavioral Sciences,N/A,2076-328X,"PSYCHOLOGY, MULTIDISCIPLINARY"
School Mental Health,1866-2625,1866-2633,"PSYCHOLOGY, DEVELOPMENTAL"
School Mental Health,1866-2625,1866-2633,"PSYCHOLOGY, EDUCATIONAL"
CREATIVITY RESEARCH JOURNAL,1040-0419,1532-6934,"PSYCHOLOGY, EDUCATIONAL"
CREATIVITY RESEARCH JOURNAL,1040-0419,1532-6934,"PSYCHOLOGY, MULTIDISCIPLINARY"
JOURNAL OF HEALTH PSYCHOLOGY,1359-1053,1461-7277,"PSYCHOLOGY, CLINICAL"
THINKING & REASONING,1354-6783,1464-0708,"PSYCHOLOGY, EXPERIMENTAL"
Perspectives on Behavior Science,2520-8969,2520-8977,"PSYCHOLOGY, CLINICAL"
JOURNAL OF CLINICAL PSYCHOLOGY,0021-9762,1097-4679,"PSYCHOLOGY, CLINICAL"
INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY,0167-8760,1872-7697,PSYCHOLOGY
INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY,0167-8760,1872-7697,"PSYCHOLOGY, BIOLOGICAL"
INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY,0167-8760,1872-7697,"PSYCHOLOGY, EXPERIMENTAL"
ARCHIVES OF SUICIDE RESEARCH,1381-1118,1543-6136,"PSYCHOLOGY, MULTIDISCIPLINARY"
BASIC AND APPLIED SOCIAL PSYCHOLOGY,0197-3533,1532-4834,"PSYCHOLOGY, SOCIAL"
LAW AND HUMAN BEHAVIOR,0147-7307,1573-661X,"PSYCHOLOGY, SOCIAL"
Psychology of Violence,2152-0828,2152-081X,"PSYCHOLOGY, CLINICAL"
International Journal of Intercultural Relations,0147-1767,1873-7552,"PSYCHOLOGY, SOCIAL"
APPLIED PSYCHOLINGUISTICS,0142-7164,1469-1817,"PSYCHOLOGY, EXPERIMENTAL"
Asian American Journal of Psychology,1948-1985,1948-1993,"PSYCHOLOGY, MULTIDISCIPLINARY"
Cyberpsychology-Journal of Psychosocial Research on Cyberspace,1802-7962,1802-7962,"PSYCHOLOGY, MULTIDISCIPLINARY"
DISCOURSE & SOCIETY,0957-9265,1460-3624,"PSYCHOLOGY, MULTIDISCIPLINARY"
JOURNAL OF HOMOSEXUALITY,0091-8369,1540-3602,"PSYCHOLOGY, MULTIDISCIPLINARY"
INTERNATIONAL JOURNAL OF BEHAVIORAL DEVELOPMENT,0165-0254,1464-0651,"PSYCHOLOGY, DEVELOPMENTAL"
Journal of Studies on Alcohol and Drugs,1937-1888,1938-4114,PSYCHOLOGY
Journal of Work and Organizational Psychology-Revista de Psicologia del Trabajo y de las Organizaciones,1576-5962,2174-0534,"PSYCHOLOGY, APPLIED"
PHYSIOLOGY & BEHAVIOR,0031-9384,1873-507X,"PSYCHOLOGY, BIOLOGICAL"
JOURNAL OF CROSS-CULTURAL PSYCHOLOGY,0022-0221,1552-5422,"PSYCHOLOGY, SOCIAL"
EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY,1064-1297,1936-2293,"PSYCHOLOGY, BIOLOGICAL"
EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY,1064-1297,1936-2293,"PSYCHOLOGY, CLINICAL"
JOURNAL OF GAMBLING STUDIES,1050-5350,1573-3602,"PSYCHOLOGY, MULTIDISCIPLINARY"
PSYCHOLOGY & HEALTH,0887-0446,1476-8321,"PSYCHOLOGY, MULTIDISCIPLINARY"
Health Psychology and Behavioral Medicine,2164-2850,2164-2850,"PSYCHOLOGY, CLINICAL"
JOURNAL OF TRAUMATIC STRESS,0894-9867,1573-6598,"PSYCHOLOGY, CLINICAL"
Eating Behaviors,1471-0153,1873-7358,"PSYCHOLOGY, CLINICAL"
Psychology & Sexuality,1941-9899,1941-9902,"PSYCHOLOGY, MULTIDISCIPLINARY"
Revista Iberoamericana de Psicologia y Salud,2171-2069,1989-9246,"PSYCHOLOGY, MULTIDISCIPLINARY"
Frontiers in Human Neuroscience,1662-5161,1662-5161,PSYCHOLOGY
I-Perception,2041-6695,2041-6695,"PSYCHOLOGY, EXPERIMENTAL"
PSYCHOLOGY PUBLIC POLICY AND LAW,1076-8971,1939-1528,"PSYCHOLOGY, MULTIDISCIPLINARY"
NEUROPSYCHOBIOLOGY,0302-282X,1423-0224,PSYCHOLOGY
COGNITION AND INSTRUCTION,0737-0008,1532-690X,"PSYCHOLOGY, EDUCATIONAL"
COGNITION AND INSTRUCTION,0737-0008,1532-690X,"PSYCHOLOGY, EXPERIMENTAL"
AMERICAN JOURNAL OF PSYCHOTHERAPY,0002-9564,2575-6559,"PSYCHOLOGY, CLINICAL"
Journal of School Violence,1538-8220,1538-8239,"PSYCHOLOGY, DEVELOPMENTAL"
Journal of School Violence,1538-8220,1538-8239,"PSYCHOLOGY, EDUCATIONAL"
JOURNAL OF FAMILY PSYCHOLOGY,0893-3200,1939-1293,"PSYCHOLOGY, CLINICAL"
JOURNAL OF SOCIAL AND PERSONAL RELATIONSHIPS,0265-4075,1460-3608,"PSYCHOLOGY, SOCIAL"
Mental Health and Physical Activity,1755-2966,1878-0199,"PSYCHOLOGY, CLINICAL"
International Journal of Art Therapy,1745-4832,1745-4840,"PSYCHOLOGY, CLINICAL"
CHILD PSYCHIATRY & HUMAN DEVELOPMENT,0009-398X,1573-3327,"PSYCHOLOGY, DEVELOPMENTAL"
ANXIETY STRESS AND COPING,1061-5806,1477-2205,"PSYCHOLOGY, MULTIDISCIPLINARY"
Traumatology,N/A,1085-9373,"PSYCHOLOGY, CLINICAL"
Traumatology,N/A,1085-9373,"PSYCHOLOGY, MULTIDISCIPLINARY"
International Journal of Sport and Exercise Psychology,1612-197X,1557-251X,"PSYCHOLOGY, APPLIED"
JOURNAL OF APPLIED BEHAVIORAL SCIENCE,0021-8863,1552-6879,"PSYCHOLOGY, APPLIED"
COGNITIVE SCIENCE,0364-0213,1551-6709,"PSYCHOLOGY, EXPERIMENTAL"
Parenting-Science and Practice,1529-5192,1532-7922,"PSYCHOLOGY, DEVELOPMENTAL"
AMERICAN BEHAVIORAL SCIENTIST,0002-7642,1552-3381,"PSYCHOLOGY, CLINICAL"
JOURNAL OF COUNSELING AND DEVELOPMENT,0748-9633,1556-6676,"PSYCHOLOGY, APPLIED"
NEW IDEAS IN PSYCHOLOGY,0732-118X,1873-3522,"PSYCHOLOGY, EXPERIMENTAL"
NEW IDEAS IN PSYCHOLOGY,0732-118X,1873-3522,"PSYCHOLOGY, MULTIDISCIPLINARY"
Journal of Trauma & Dissociation,1529-9732,1529-9740,"PSYCHOLOGY, CLINICAL"
Schizophrenia Research-Cognition,2215-0013,2215-0013,"PSYCHOLOGY, EXPERIMENTAL"
BioPsychoSocial Medicine,1751-0759,1751-0759,"PSYCHOLOGY, MULTIDISCIPLINARY"
Clinica y Salud,1130-5274,2174-0550,"PSYCHOLOGY, CLINICAL"
Journal of Theoretical Social Psychology,N/A,2475-0387,"PSYCHOLOGY, SOCIAL"
Psychology of Religion and Spirituality,1941-1022,1943-1562,"PSYCHOLOGY, MULTIDISCIPLINARY"
MUSICAE SCIENTIAE,1029-8649,2045-4147,"PSYCHOLOGY, EXPERIMENTAL"
LEGAL AND CRIMINOLOGICAL PSYCHOLOGY,1355-3259,2044-8333,"PSYCHOLOGY, MULTIDISCIPLINARY"
Research in Autism Spectrum Disorders,1750-9467,1878-0237,"PSYCHOLOGY, DEVELOPMENTAL"
FEMINISM & PSYCHOLOGY,0959-3535,1461-7161,"PSYCHOLOGY, MULTIDISCIPLINARY"
JOURNAL OF APPLIED DEVELOPMENTAL PSYCHOLOGY,0193-3973,1873-7900,"PSYCHOLOGY, DEVELOPMENTAL"
Journal of Psychedelic Studies,N/A,2559-9283,"PSYCHOLOGY, MULTIDISCIPLINARY"
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION,0278-7393,1939-1285,PSYCHOLOGY
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION,0278-7393,1939-1285,"PSYCHOLOGY, EXPERIMENTAL"
Educational and Developmental Psychologist,2059-0776,2059-0784,"PSYCHOLOGY, DEVELOPMENTAL"
NEUROBIOLOGY OF LEARNING AND MEMORY,1074-7427,1095-9564,PSYCHOLOGY
NEUROBIOLOGY OF LEARNING AND MEMORY,1074-7427,1095-9564,"PSYCHOLOGY, MULTIDISCIPLINARY"
APPLIED PSYCHOPHYSIOLOGY AND BIOFEEDBACK,1090-0586,1573-3270,"PSYCHOLOGY, CLINICAL"
International Journal of Sexual Health,1931-7611,1931-762X,"PSYCHOLOGY, CLINICAL"
MEMORY & COGNITION,0090-502X,1532-5946,"PSYCHOLOGY, EXPERIMENTAL"
JOURNAL OF MATHEMATICAL PSYCHOLOGY,0022-2496,1096-0880,"PSYCHOLOGY, MATHEMATICAL"
JOURNAL OF ADOLESCENT RESEARCH,0743-5584,1552-6895,"PSYCHOLOGY, DEVELOPMENTAL"
JOURNAL OF PSYCHOLOGY,0022-3980,1940-1019,"PSYCHOLOGY, MULTIDISCIPLINARY"
PSYCHOLOGICAL RESEARCH-PSYCHOLOGISCHE FORSCHUNG,0340-0727,1430-2772,"PSYCHOLOGY, EXPERIMENTAL"
Journal of Cognitive Engineering and Decision Making,1555-3434,2169-5032,"PSYCHOLOGY, APPLIED"
BRAIN AND COGNITION,0278-2626,1090-2147,"PSYCHOLOGY, EXPERIMENTAL"
MEMORY,0965-8211,1464-0686,"PSYCHOLOGY, EXPERIMENTAL"
Current Developmental Disorders Reports,N/A,2196-2987,"PSYCHOLOGY, DEVELOPMENTAL"
Journal of Personnel Psychology,1866-5888,2190-5150,"PSYCHOLOGY, APPLIED"
JOURNAL OF ORGANIZATIONAL BEHAVIOR MANAGEMENT,0160-8061,1540-8604,"PSYCHOLOGY, APPLIED"
DEATH STUDIES,0748-1187,1091-7683,"PSYCHOLOGY, MULTIDISCIPLINARY"
Psychology of Popular Media,2689-6567,2689-6575,"PSYCHOLOGY, MULTIDISCIPLINARY"
BRAIN AND LANGUAGE,0093-934X,1090-2155,"PSYCHOLOGY, EXPERIMENTAL"
BEHAVIORAL DISORDERS,0198-7429,2163-5307,"PSYCHOLOGY, CLINICAL"
BEHAVIORAL DISORDERS,0198-7429,2163-5307,"PSYCHOLOGY, EDUCATIONAL"
Early Education and Development,1040-9289,1556-6935,"PSYCHOLOGY, EDUCATIONAL"
JOURNAL OF SEX & MARITAL THERAPY,0092-623X,1521-0715,"PSYCHOLOGY, CLINICAL"
SEXUAL ABUSE-A JOURNAL OF RESEARCH AND TREATMENT,1079-0632,1573-286X,"PSYCHOLOGY, CLINICAL"
CRIMINAL JUSTICE AND BEHAVIOR,0093-8548,1552-3594,"PSYCHOLOGY, CLINICAL"
JOURNAL OF APPLIED RESEARCH IN INTELLECTUAL DISABILITIES,1360-2322,1468-3148,"PSYCHOLOGY, EDUCATIONAL"
ARCHIVES OF CLINICAL NEUROPSYCHOLOGY,0887-6177,1873-5843,PSYCHOLOGY
ARCHIVES OF CLINICAL NEUROPSYCHOLOGY,0887-6177,1873-5843,"PSYCHOLOGY, CLINICAL"
Journal of Latinx Psychology,2578-8086,2578-8094,"PSYCHOLOGY, CLINICAL"
Journal of Latinx Psychology,2578-8086,2578-8094,"PSYCHOLOGY, MULTIDISCIPLINARY"
Journal of Psychosomatic Obstetrics & Gynecology,0167-482X,1743-8942,"PSYCHOLOGY, CLINICAL"
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE,0096-1523,1939-1277,PSYCHOLOGY
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE,0096-1523,1939-1277,"PSYCHOLOGY, EXPERIMENTAL"
Cognitive Systems Research,2214-4366,1389-0417,"PSYCHOLOGY, EXPERIMENTAL"
EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT,0013-1644,1552-3888,"PSYCHOLOGY, EDUCATIONAL"
EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT,0013-1644,1552-3888,"PSYCHOLOGY, MATHEMATICAL"
JOURNAL OF PSYCHOACTIVE DRUGS,0279-1072,2159-9777,"PSYCHOLOGY, CLINICAL"
DISCOURSE PROCESSES,0163-853X,1532-6950,"PSYCHOLOGY, EDUCATIONAL"
DISCOURSE PROCESSES,0163-853X,1532-6950,"PSYCHOLOGY, EXPERIMENTAL"
CONSCIOUSNESS AND COGNITION,1053-8100,1090-2376,"PSYCHOLOGY, EXPERIMENTAL"
ACTA PSYCHOLOGICA,0001-6918,1873-6297,"PSYCHOLOGY, EXPERIMENTAL"
Transgender Health,2688-4887,2380-193X,"PSYCHOLOGY, CLINICAL"
APPLIED COGNITIVE PSYCHOLOGY,0888-4080,1099-0720,"PSYCHOLOGY, EXPERIMENTAL"
Cognitive Behaviour Therapist,1754-470X,1754-470X,"PSYCHOLOGY, CLINICAL"
Affective Science,2662-2041,2662-205X,PSYCHOLOGY
Affective Science,2662-2041,2662-205X,"PSYCHOLOGY, EXPERIMENTAL"
JOURNAL OF REPRODUCTIVE AND INFANT PSYCHOLOGY,0264-6838,1469-672X,"PSYCHOLOGY, MULTIDISCIPLINARY"
Behavior Analysis in Practice,1998-1929,2196-8934,"PSYCHOLOGY, CLINICAL"
JOURNAL OF COMMUNITY PSYCHOLOGY,0090-4392,1520-6629,"PSYCHOLOGY, MULTIDISCIPLINARY"
JOURNAL OF SPORT & EXERCISE PSYCHOLOGY,0895-2779,1543-2904,PSYCHOLOGY
Zeitschrift fur Psychologie-Journal of Psychology,2190-8370,2151-2604,"PSYCHOLOGY, MULTIDISCIPLINARY"
AUSTRALIAN PSYCHOLOGIST,0005-0067,1742-9544,"PSYCHOLOGY, MULTIDISCIPLINARY"
Ecopsychology,1942-9347,1942-9347,"PSYCHOLOGY, MULTIDISCIPLINARY"
Journal of Neuropsychology,1748-6645,1748-6653,PSYCHOLOGY
ERGONOMICS,0014-0139,1366-5847,PSYCHOLOGY
Methodology-European Journal of Research Methods for the Behavioral and Social Sciences,1614-1881,1614-2241,"PSYCHOLOGY, MATHEMATICAL"
Translational Issues in Psychological Science,2332-2136,2332-2179,"PSYCHOLOGY, MULTIDISCIPLINARY"
JOURNAL OF GENERAL PSYCHOLOGY,0022-1309,1940-0888,"PSYCHOLOGY, MULTIDISCIPLINARY"
Judgment and Decision Making,1930-2975,1930-2975,"PSYCHOLOGY, MULTIDISCIPLINARY"
Psychology Learning and Teaching-PLAT,1475-7257,2057-3022,"PSYCHOLOGY, MULTIDISCIPLINARY"
LEARNING & BEHAVIOR,1543-4494,1543-4508,"PSYCHOLOGY, BIOLOGICAL"
SOUTH AFRICAN JOURNAL OF PSYCHOLOGY,0081-2463,2078-208X,"PSYCHOLOGY, MULTIDISCIPLINARY"
Europes Journal of Psychology,1841-0413,1841-0413,"PSYCHOLOGY, MULTIDISCIPLINARY"
Review of Philosophy and Psychology,1878-5158,1878-5166,"PSYCHOLOGY, MULTIDISCIPLINARY"
ETHICS & BEHAVIOR,1050-8422,1532-7019,"PSYCHOLOGY, MULTIDISCIPLINARY"
SCANDINAVIAN JOURNAL OF PSYCHOLOGY,0036-5564,1467-9450,"PSYCHOLOGY, MULTIDISCIPLINARY"
International Journal for the Psychology of Religion,1050-8619,1532-7582,"PSYCHOLOGY, MULTIDISCIPLINARY"
JOURNAL OF EMOTIONAL AND BEHAVIORAL DISORDERS,1063-4266,1538-4799,"PSYCHOLOGY, MULTIDISCIPLINARY"
Journal of Media Psychology-Theories Methods and Applications,1864-1105,2151-2388,"PSYCHOLOGY, MULTIDISCIPLINARY"
Crisis-The Journal of Crisis Intervention and Suicide Prevention,0227-5910,2151-2396,"PSYCHOLOGY, MULTIDISCIPLINARY"
European Journal of Psychology Open,2673-8627,2673-8627,"PSYCHOLOGY, MULTIDISCIPLINARY"
PSYCHOLOGICAL REPORTS,0033-2941,1558-691X,"PSYCHOLOGY, MULTIDISCIPLINARY"
Psicologia Educativa,1135-755X,2174-0526,"PSYCHOLOGY, MULTIDISCIPLINARY"
JOURNAL OF GENETIC PSYCHOLOGY,0022-1325,1940-0896,"PSYCHOLOGY, MULTIDISCIPLINARY"
Cogent Psychology,2331-1908,2331-1908,"PSYCHOLOGY, MULTIDISCIPLINARY"
Behavior and Social Issues,1064-9506,2376-6786,"PSYCHOLOGY, MULTIDISCIPLINARY"
Journal of Neuroscience Psychology and Economics,1937-321X,2151-318X,"PSYCHOLOGY, MULTIDISCIPLINARY"
JOURNAL OF THE AMERICAN PSYCHOANALYTIC ASSOCIATION,0003-0651,1941-2460,"PSYCHOLOGY, PSYCHOANALYSIS"
Psychoanalytic Psychotherapy,0266-8734,1474-9734,"PSYCHOLOGY, PSYCHOANALYSIS"
INTERNATIONAL JOURNAL OF PSYCHOANALYSIS,0020-7578,1745-8315,"PSYCHOLOGY, PSYCHOANALYSIS"
BULLETIN OF THE MENNINGER CLINIC,0025-9284,1943-2828,"PSYCHOLOGY, PSYCHOANALYSIS"
PSYCHOANALYTIC PSYCHOLOGY,0736-9735,1939-1331,"PSYCHOLOGY, PSYCHOANALYSIS"
International Forum of Psychoanalysis,0803-706X,1651-2324,"PSYCHOLOGY, PSYCHOANALYSIS"
ZEITSCHRIFT FUR PSYCHOSOMATISCHE MEDIZIN UND PSYCHOTHERAPIE,1438-3608,2196-8349,"PSYCHOLOGY, PSYCHOANALYSIS"
PSYCHOANALYTIC QUARTERLY,0033-2828,2167-4086,"PSYCHOLOGY, PSYCHOANALYSIS"
PSYCHOANALYTIC DIALOGUES,1048-1885,1940-9222,"PSYCHOLOGY, PSYCHOANALYSIS"
JOURNAL OF ANALYTICAL PSYCHOLOGY,0021-8774,1468-5922,"PSYCHOLOGY, PSYCHOANALYSIS"
Psychoanalysis Self and Context,2472-0038,2472-0046,"PSYCHOLOGY, PSYCHOANALYSIS"
CONTEMPORARY PSYCHOANALYSIS,0010-7530,2330-9091,"PSYCHOLOGY, PSYCHOANALYSIS"
