journal_name,category,rank,source,issn_type,issn
psychosocial intervention,"PSYCHOLOGY, MULTIDISCIPLINARY",151,psych1,e_issn,2173-4712
psychology of sexual orientation and gender diversity,PSYCHOLOGY,152,psych1,issn,2329-0382
psychology of sexual orientation and gender diversity,PSYCHOLOGY,152,psych1,e_issn,2329-0390
neurobiology of language,"PSYCHOLOGY, EXPERIMENTAL",154,psych1,issn,2641-4368
neurobiology of language,"PSYCHOLOGY, EXPERIMENTAL",154,psych1,e_issn,2641-4368
npj science of learning,"PSYCHOLOGY, EXPERIMENTAL",155,psych1,e_issn,2056-7936
annals of behavioral medicine,"PSYCHOLOGY, MULTIDISCIPLINARY",156,psych1,issn,0883-6612
annals of behavioral medicine,"PSYCHOLOGY, MULTIDISCIPLINARY",156,psych1,e_issn,1532-4796
internet interventions-the application of information technology in mental and behavioural health,"PSYCHOLOGY, CLINICAL",158,psych1,e_issn,2214-7829
australian journal of psychology,"PSYCHOLOGY, MULTIDISCIPLINARY",159,psych1,issn,0004-9530
australian journal of psychology,"PSYCHOLOGY, MULTIDISCIPLINARY",159,psych1,e_issn,1742-9536
british journal of health psychology,"PSYCHOLOGY, CLINICAL",160,psych1,issn,1359-107X
british journal of health psychology,"PSYCHOLOGY, CLINICAL",160,psych1,e_issn,2044-8287
personality and individual differences,"PSYCHOLOGY, SOCIAL",161,psych1,issn,0191-8869
personality and individual differences,"PSYCHOLOGY, SOCIAL",161,psych1,e_issn,1873-3549
assessment,"PSYCHOLOGY, CLINICAL",162,psych1,issn,1073-1911
assessment,"PSYCHOLOGY, CLINICAL",162,psych1,e_issn,1552-3489
transportation research part f-traffic psychology and behaviour,"PSYCHOLOGY, APPLIED",163,psych1,issn,1369-8478
transportation research part f-traffic psychology and behaviour,"PSYCHOLOGY, APPLIED",163,psych1,e_issn,1873-5517
journal of eating disorders,"PSYCHOLOGY, CLINICAL",164,psych1,issn,2050-2974
journal of eating disorders,"PSYCHOLOGY, CLINICAL",164,psych1,e_issn,2050-2974
media psychology,"PSYCHOLOGY, APPLIED",165,psych1,issn,1521-3269
media psychology,"PSYCHOLOGY, APPLIED",165,psych1,e_issn,1532-785X
child abuse & neglect,"PSYCHOLOGY, SOCIAL",166,psych1,issn,0145-2134
child abuse & neglect,"PSYCHOLOGY, SOCIAL",166,psych1,e_issn,1873-7757
policy insights from the behavioral and brain sciences,"PSYCHOLOGY, MULTIDISCIPLINARY",167,psych1,issn,2372-7322
policy insights from the behavioral and brain sciences,"PSYCHOLOGY, MULTIDISCIPLINARY",167,psych1,e_issn,2372-7330
emotion,"PSYCHOLOGY, EXPERIMENTAL",168,psych1,issn,1528-3542
emotion,"PSYCHOLOGY, EXPERIMENTAL",168,psych1,e_issn,1931-1516
journal of contextual behavioral science,"PSYCHOLOGY, CLINICAL",169,psych1,issn,2212-1447
journal of contextual behavioral science,"PSYCHOLOGY, CLINICAL",169,psych1,e_issn,2212-1455
organizational behavior and human decision processes,"PSYCHOLOGY, APPLIED",170,psych1,issn,0749-5978
organizational behavior and human decision processes,"PSYCHOLOGY, APPLIED",170,psych1,e_issn,1095-9920
behavior therapy,"PSYCHOLOGY, CLINICAL",172,psych1,issn,0005-7894
behavior therapy,"PSYCHOLOGY, CLINICAL",172,psych1,e_issn,1878-1888
cognitive research-principles and implications,"PSYCHOLOGY, EXPERIMENTAL",173,psych1,issn,2365-7464
cognitive research-principles and implications,"PSYCHOLOGY, EXPERIMENTAL",173,psych1,e_issn,2365-7464
journal of positive psychology,"PSYCHOLOGY, MULTIDISCIPLINARY",174,psych1,issn,1743-9760
journal of positive psychology,"PSYCHOLOGY, MULTIDISCIPLINARY",174,psych1,e_issn,1743-9779
american journal of community psychology,"PSYCHOLOGY, MULTIDISCIPLINARY",175,psych1,issn,0091-0562
american journal of community psychology,"PSYCHOLOGY, MULTIDISCIPLINARY",175,psych1,e_issn,1573-2770
aggression and violent behavior,"PSYCHOLOGY, MULTIDISCIPLINARY",176,psych1,issn,1359-1789
aggression and violent behavior,"PSYCHOLOGY, MULTIDISCIPLINARY",176,psych1,e_issn,1873-6335
personality and social psychology bulletin,"PSYCHOLOGY, SOCIAL",177,psych1,issn,0146-1672
personality and social psychology bulletin,"PSYCHOLOGY, SOCIAL",177,psych1,e_issn,1552-7433
new directions for child and adolescent development,"PSYCHOLOGY, DEVELOPMENTAL",178,psych1,issn,1520-3247
new directions for child and adolescent development,"PSYCHOLOGY, DEVELOPMENTAL",178,psych1,e_issn,1534-8687
career development international,"PSYCHOLOGY, APPLIED",179,psych1,issn,1362-0436
career development international,"PSYCHOLOGY, APPLIED",179,psych1,e_issn,1758-6003
psychological assessment,"PSYCHOLOGY, CLINICAL",180,psych1,issn,1040-3590
psychological assessment,"PSYCHOLOGY, CLINICAL",180,psych1,e_issn,1939-134X
intelligence,"PSYCHOLOGY, MULTIDISCIPLINARY",182,psych1,issn,0160-2896
intelligence,"PSYCHOLOGY, MULTIDISCIPLINARY",182,psych1,e_issn,1873-7935
cortex,"PSYCHOLOGY, EXPERIMENTAL",183,psych1,issn,0010-9452
cortex,"PSYCHOLOGY, EXPERIMENTAL",183,psych1,e_issn,1973-8102
german journal of human resource management-zeitschrift fur personalforschung,"PSYCHOLOGY, APPLIED",184,psych1,issn,2397-0022
